active_bids,2026-01-08 03:54:58,project_id,observed_key,gc_name,gc_email,gc_contact,award_status,asana_assignee,rfp_date,proposal_total,takeoff_total,total_sf,variance_pct,primary_r_value,primary_insulation,proposal_versions,proposal_sections,takeoff_lines,matched_sections,specs_extracted,email_count,chat_count,last_comm_date,fact_count,has_proposal,has_takeoff,has_matches,has_specs,has_asana,asana_task_gid,bid_status,scope,is_new_from_asana,matched_sheet_name,match_confidence,match_variance,best_proposal_file,match_status,match_source,merged_from_count,created_at,sage_address,sage_billed_amount,sage_match_confidence,has_ledger_data,ledger_transaction_count,ledger_total_debits,ledger_total_credits,classification,classification_reason,classified_at
active_bids,2026-01-08 03:54:58,45,44,34,23,17,44,44,44,44,44,44,45,44,35,44,44,44,44,44,44,1,0,45,0,45,34,34,34,34,44,34,44,45,32,32,34,35,14,44,44,,,,,,,,,,

active_projects,2026-01-08 03:54:52,project_id,observed_key,gc_name,gc_email,gc_contact,award_status,asana_assignee,rfp_date,proposal_total,takeoff_total,total_sf,variance_pct,primary_r_value,primary_insulation,proposal_versions,proposal_sections,takeoff_lines,matched_sections,specs_extracted,email_count,chat_count,last_comm_date,fact_count,has_proposal,has_takeoff,has_matches,has_specs,has_asana,asana_task_gid,bid_status,scope,is_new_from_asana,matched_sheet_name,match_confidence,match_variance,best_proposal_file,match_status,match_source,merged_from_count,created_at,sage_address,sage_billed_amount,sage_match_confidence,has_ledger_data,ledger_transaction_count,ledger_total_debits,ledger_total_credits,classification,classification_reason,classified_at
active_projects,2026-01-08 03:54:52,380,365,343,55,54,380,380,380,380,380,380,380,380,278,380,380,380,380,380,380,0,0,380,0,380,346,346,343,346,380,346,380,380,254,254,192,162,8,380,378,,,,,,,,,,

asana_awards,2025-12-15 22:47:35,award_id,project_name_raw,gc_owner_raw,estimator_raw,created_at_date,completed_at_date,created_at_raw,completed_at_raw,award_status_raw,award_bid_status_raw,address_raw,customer_info_raw,signed_raw,contact_raw,roofing_warranty_manufacturer,raw_record_json,project_name_evidence,observed_key,project_id,container_id,is_ignored,resolution_status
asana_awards,2025-12-15 22:47:35,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR

asana_bids,2025-12-15 22:47:35,bid_id,project_name_raw,gc_owner_raw,estimator_raw,created_at_raw,created_at_date,rfp_date_raw,date_of_rfp_raw,rfp_date,due_date_raw,due_date,bid_outcome_raw,bid_workflow_status_raw,bid_outcome_norm,scope_raw,pricing_hold_raw,sage_submissions,notes_1,notes_2,parent_task,assignee_email,parent_task_evidence,observed_key,project_id,container_id,is_ignored,resolution_status
asana_bids,2025-12-15 22:47:35,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR,ERR

chat_facts_gemini_comparison,2026-01-06 19:20:16,fact_id,project_id,project_name,source_message_id,source_thread_id,fact_date,fact_type,fact_summary,source_quote,is_inferred,inference_reasoning,confidence_score,confidence_reasoning,system_category,gc_company,role_code,extracted_at,source_type,model,related_email_fact
chat_facts_gemini_comparison,2026-01-06 20:25:44,252,0,252,0,0,0,0,252,252,252,0,252,252,252,252,0,252,252,252,252

closed_projects,2026-01-08 03:54:55,project_id,observed_key,gc_name,gc_email,gc_contact,award_status,asana_assignee,rfp_date,proposal_total,takeoff_total,total_sf,variance_pct,primary_r_value,primary_insulation,proposal_versions,proposal_sections,takeoff_lines,matched_sections,specs_extracted,email_count,chat_count,last_comm_date,fact_count,has_proposal,has_takeoff,has_matches,has_specs,has_asana,asana_task_gid,bid_status,scope,is_new_from_asana,matched_sheet_name,match_confidence,match_variance,best_proposal_file,match_status,match_source,merged_from_count,created_at,sage_address,sage_billed_amount,sage_match_confidence,has_ledger_data,ledger_transaction_count,ledger_total_debits,ledger_total_credits,classification,classification_reason,classified_at
closed_projects,2026-01-08 03:54:55,170,146,96,19,25,168,168,169,168,168,170,170,168,80,170,170,170,170,170,170,0,0,170,0,170,98,98,96,98,170,98,170,170,73,73,37,31,4,170,169,,,,,,,,,,

document_index_v1,2026-01-08 02:37:38,project_id,observed_key,doc_type,version_number,file_name,gcs_uri,matched_sheet_name,match_confidence,variance_pct,indexed_at
document_index_v1,2026-01-08 02:37:38,6451,6451,6451,6451,6451,5760,6451,6451,6451,6451

email_attachments,2026-01-05 13:44:52,message_id,project_id,from_email,subject,email_date,direction,attachment_index,filename,file_extension,mime_type,size_bytes,is_pdf,is_proposal_likely,found_in_mailbox,extracted_at
email_attachments,2026-01-07 05:33:49,109040,109040,109040,109040,109040,109040,100372,109040,109040,109040,109040,109040,109040,108982,109040

extracted_facts_v2,2026-01-06 21:35:56,fact_id,project_id,project_name,source_thread_id,source_message_id,fact_date,fact_type,fact_summary,source_quote,is_inferred,confidence_score,extracted_at,source_type
extracted_facts_v2,2026-01-07 01:47:19,68505,68498,68505,55280,68505,68505,65171,63312,64588,68504,68505,66647,68505

lost_bids,2026-01-08 03:55:07,project_id,observed_key,gc_name,gc_email,gc_contact,award_status,asana_assignee,rfp_date,proposal_total,takeoff_total,total_sf,variance_pct,primary_r_value,primary_insulation,proposal_versions,proposal_sections,takeoff_lines,matched_sections,specs_extracted,email_count,chat_count,last_comm_date,fact_count,has_proposal,has_takeoff,has_matches,has_specs,has_asana,asana_task_gid,bid_status,scope,is_new_from_asana,matched_sheet_name,match_confidence,match_variance,best_proposal_file,match_status,match_source,merged_from_count,created_at,sage_address,sage_billed_amount,sage_match_confidence,has_ledger_data,ledger_transaction_count,ledger_total_debits,ledger_total_credits,classification,classification_reason,classified_at
lost_bids,2026-01-08 03:55:07,107,107,99,42,42,107,107,107,107,107,107,107,107,93,107,107,107,107,107,107,0,0,107,0,107,99,99,99,99,107,99,107,107,92,92,67,59,0,107,107,,,,,,,,,,

